PRACTICE_POSTCODE,Urgent_Count,Total_Count,Pressure_Index_Pct
SE254SL,1869,14317,13.05
E34JJ,558,4277,13.05
TW152TY,2235,17138,13.04
SY45ER,168,1288,13.04
SW184ST,568,4357,13.04
S602DJ,1362,10447,13.04
OX118DP,2224,17060,13.04
FY14EZ,882,6764,13.04
E47BA,214,1641,13.04
CR28JJ,706,5414,13.04
BN84HD,571,4378,13.04
W37TZ,332,2548,13.03
SW151RG,843,6470,13.03
NW26JH,724,5557,13.03
W52RP,1693,12999,13.02
SK143QJ,821,6306,13.02
RM139AB,1443,11086,13.02
ME71BL,1527,11738,13.01
SW161UN,470,3614,13.0
SL50EP,712,5476,13.0
LS31AD,707,5437,13.0
IG80HL,1202,9249,13.0
N135LD,720,5542,12.99
IG11YN,380,2926,12.99
W45UH,678,5222,12.98
NN95GF,1096,8443,12.98
HX11DJ,1427,10996,12.98
LS99ED,884,6818,12.97
L45PH,1179,9088,12.97
SM52RE,299,2307,12.96
NE639AE,1582,12211,12.96
UB69QN,784,6055,12.95
S23DU,1314,10150,12.95
IP20QY,496,3829,12.95
OL114PZ,2626,20292,12.94
M71US,1358,10491,12.94
RG17AQ,154,1191,12.93
BS375UY,1137,8794,12.93
NR294EW,947,7327,12.92
M65EQ,2769,21436,12.92
GU111JR,3456,26749,12.92
ME11EU,978,7580,12.9
LS197PS,276,2139,12.9
LU33FH,479,3716,12.89
HA20AJ,313,2428,12.89
TW88DL,1206,9366,12.88
HA48BE,754,5856,12.88
CH658AD,1444,11221,12.87
WS152BZ,333,2589,12.86
SR69QS,977,7600,12.86
PR11LB,859,6678,12.86
BB97NT,298,2317,12.86
N14QY,1221,9501,12.85
CB99DZ,1039,8084,12.85
PO88DL,904,7038,12.84
NR50AB,1756,13676,12.84
L118NB,1501,11702,12.83
WN49AX,1549,12081,12.82
L164PB,1860,14505,12.82
HA61QN,617,4815,12.81
SW90JD,1116,8725,12.79
NE372BA,1611,12594,12.79
HP79PH,827,6468,12.79
LE156AY,1574,12324,12.77
WV140BJ,910,7134,12.76
SE155EG,561,4395,12.76
HP51DE,947,7421,12.76
SW33NB,391,3067,12.75
SE186QW,753,5908,12.75
FY67SR,2746,21542,12.75
BN435DQ,39,306,12.75
W51RT,99,777,12.74
SW115QW,764,5995,12.74
KT12BZ,1906,14955,12.74
W71DR,387,3039,12.73
M147BZ,590,4634,12.73
B128LH,884,6957,12.71
W128QQ,553,4353,12.7
GU218TE,911,7175,12.7
ME50TX,367,2893,12.69
WF13AZ,1657,13065,12.68
SW113UY,337,2657,12.68
WV46RA,974,7690,12.67
PE217BX,2472,19513,12.67
N226BB,1195,9432,12.67
HG27DB,2296,18123,12.67
SN127NS,640,5059,12.65
OL84SR,1537,12146,12.65
LE112EN,2954,23352,12.65
M192TG,473,3743,12.64
LE77PA,547,4328,12.64
W21DW,188,1488,12.63
SW1P2AH,1204,9531,12.63
NG75DR,4526,35826,12.63
EX348JJ,1209,9571,12.63
NW98LU,449,3559,12.62
NE52BP,1265,10022,12.62
ME102AR,1107,8774,12.62
LU48BP,510,4042,12.62
HA02RH,210,1664,12.62
OX43LR,367,2912,12.6
RH118JF,1518,12059,12.59
NE53DS,1128,8956,12.59
DA175QH,326,2590,12.59
B903BW,1280,10166,12.59
NR279HZ,594,4721,12.58
CA117DE,836,6644,12.58
SY113JP,878,6983,12.57
SW155QJ,191,1520,12.57
BL33PZ,1015,8072,12.57
IG118AA,607,4833,12.56
E143BQ,452,3598,12.56
TW31NH,1363,10857,12.55
M389WT,508,4049,12.55
SE85DJ,451,3596,12.54
PO29JE,1415,11288,12.54
E50RN,118,941,12.54
CM95QX,787,6275,12.54
DY117BQ,1924,15355,12.53
W69PH,192,1534,12.52
N31QG,419,3348,12.51
GU215TX,383,3061,12.51
B191LL,1963,15687,12.51
KT91EW,330,2639,12.5
IG12RR,1330,10644,12.5
GU237LJ,15,120,12.5
M456TB,1181,9452,12.49
IG26XA,492,3946,12.47
S714BY,672,5395,12.46
NW44NL,354,2842,12.46
SE16SW,1284,10315,12.45
RG91UR,1020,8193,12.45
PR23QA,296,2378,12.45
HA01EU,261,2096,12.45
CW27HT,2467,19812,12.45
NR180AR,433,3481,12.44
M210BQ,2020,16244,12.44
OL145AA,1157,9318,12.42
BN149RY,1375,11069,12.42
PR83LH,542,4367,12.41
M27HQ,613,4938,12.41
WF177QF,1096,8840,12.4
SE42AQ,2409,19434,12.4
RG147LX,2707,21839,12.4
EN48RN,1328,10708,12.4
NE297LS,2411,19476,12.38
CR42AD,899,7262,12.38
WS29BP,736,5949,12.37
RG92BG,922,7455,12.37
NR47TJ,445,3599,12.36
W53AQ,235,1903,12.35
TN401JP,327,2647,12.35
SE208EF,639,5172,12.35
SW1V2LY,605,4901,12.34
SE11JH,1414,11460,12.34
PL231DF,512,4150,12.34
CH428PG,888,7196,12.34
NR316NB,265,2149,12.33
NR219AG,1906,15452,12.33
FY41DW,592,4800,12.33
CM16TB,2174,17636,12.33
LE39PW,1266,10273,12.32
CM34NQ,1214,9863,12.31
WV106AN,336,2732,12.3
W39DD,806,6554,12.3
IG104NZ,519,4220,12.3
HR12DB,241,1959,12.3
CO59JT,670,5452,12.29
LS178RE,767,6245,12.28
BD87DH,1268,10323,12.28
L368BJ,576,4694,12.27
SK152DX,1644,13419,12.25
IG96AS,1306,10662,12.25
CR82LN,879,7176,12.25
CH490UG,729,5953,12.25
SL44DE,36,294,12.24
L46SH,614,5017,12.24
TS159PA,28,229,12.23
LE194LN,1237,10113,12.23
DA11HP,636,5202,12.23
SE64UE,264,2161,12.22
RG287HW,441,3608,12.22
NE164DT,1251,10247,12.21
E70EW,876,7172,12.21
BL96DX,1062,8698,12.21
TF107AX,256,2098,12.2
SL45DU,434,3560,12.19
RM176NX,912,7479,12.19
HX11UG,457,3748,12.19
L257RH,238,1954,12.18
E59BU,406,3332,12.18
CH637PJ,1502,12335,12.18
TS13AN,1028,8448,12.17
SE96SL,981,8064,12.17
NW36EH,381,3131,12.17
L253PG,889,7307,12.17
EN80BS,958,7873,12.17
BR54AR,640,5259,12.17
SK138HJ,877,7211,12.16
SM38ET,1138,9370,12.15
RG17NL,3834,31565,12.15
NW42HS,677,5573,12.15
CV311BA,1718,14136,12.15
LE26TD,877,7226,12.14
NE630HD,955,7870,12.13
B913SJ,1448,11936,12.13
E105NA,717,5917,12.12
WS13RF,1489,12307,12.1
EC1M7AA,254,2100,12.1
SW154LE,625,5168,12.09
NW65SB,330,2729,12.09
M320QJ,1014,8387,12.09
CR36JU,395,3267,12.09
CB90DA,2055,16999,12.09
WN88LA,1694,14020,12.08
M263QP,550,4553,12.08
OL11BE,554,4589,12.07
NG57EE,964,7988,12.07
HP135DL,744,6163,12.07
B138JS,318,2636,12.06
NW101AJ,436,3617,12.05
KT123NL,376,3121,12.05
SE229QQ,638,5298,12.04
LA94RF,1204,10007,12.03
B100DP,218,1812,12.03
SW98DJ,469,3901,12.02
N103SH,271,2255,12.02
MK454LL,797,6629,12.02
BR13NH,222,1847,12.02
L111EL,1705,14201,12.01
GL127EP,1699,14144,12.01
L128RE,561,4675,12.0
E78NW,513,4274,12.0
HU28HL,1307,10905,11.99
SO143BQ,318,2655,11.98
BS119LP,394,3289,11.98
WA27JN,930,7770,11.97
RH107QH,589,4921,11.97
NW102RY,37,309,11.97
CR69RH,1189,9936,11.97
DT93EH,1055,8824,11.96
RH108EZ,529,4428,11.95
OL97AP,1146,9601,11.94
NR191DR,387,3242,11.94
E82JS,462,3869,11.94
SM26BH,309,2590,11.93
RM83NT,283,2373,11.93
SE153LF,246,2064,11.92
CT52LX,1219,10226,11.92
B152QU,525,4410,11.9
YO84QB,1416,11906,11.89
HD12RD,1176,9889,11.89
EN87AP,1175,9883,11.89
HU13JF,1607,13525,11.88
DA161AX,877,7382,11.88
BH14EX,1018,8567,11.88
SL59NF,779,6565,11.87
B313JS,748,6308,11.86
SK56RN,682,5755,11.85
TN330EE,864,7295,11.84
OX41JS,584,4932,11.84
EN107NF,393,3320,11.84
CV23NE,903,7627,11.84
UB68QZ,589,4983,11.82
NE34NQ,433,3662,11.82
NE22AP,1159,9802,11.82
EN93BT,827,6995,11.82
CV91AU,2661,22509,11.82
YO224JQ,444,3763,11.8
W120AE,19,161,11.8
KT91JG,348,2950,11.8
CH485DA,600,5085,11.8
SR52HY,3227,27363,11.79
NE387EJ,1014,8599,11.79
N13PF,484,4110,11.78
CV77QG,81,688,11.77
W140SH,442,3759,11.76
SS87AX,1595,13558,11.76
SM68EP,800,6801,11.76
S59ND,506,4302,11.76
UB56LP,912,7759,11.75
TW197HS,798,6789,11.75
KT13RU,1313,11175,11.75
HA35JZ,538,4580,11.75
CA11EX,522,4444,11.75
B100UT,493,4197,11.75
NE287LP,799,6807,11.74
AL86NE,476,4054,11.74
SL45AZ,960,8184,11.73
SE64AF,956,8150,11.73
OL28NH,2621,22348,11.73
SE64SN,469,4001,11.72
MK430ST,34,290,11.72
DL94DH,1432,12218,11.72
CM144SD,789,6734,11.72
BA52LD,869,7415,11.72
B100UF,1748,14913,11.72
W129AH,67,572,11.71
S728SU,697,5953,11.71
RG421PB,1491,12732,11.71
N111AF,255,2178,11.71
IG117RS,264,2254,11.71
DN185PD,866,7396,11.71
W1G8GG,47,402,11.69
NE387NQ,986,8435,11.69
IG14JT,446,3815,11.69
CR07LG,231,1976,11.69
S91UF,715,6127,11.67
RM124TG,316,2708,11.67
L404BZ,1390,11909,11.67
B377AB,1014,8686,11.67
UB95JP,855,7334,11.66
SR48PY,295,2530,11.66
NE263SL,815,6987,11.66
BB98EH,866,7426,11.66
AL54EP,721,6186,11.66
TR112DA,1444,12400,11.65
TQ148BG,1093,9385,11.65
YO319HU,1757,15097,11.64
WN59AL,1008,8661,11.64
SL37RP,234,2010,11.64
IG14BH,400,3435,11.64
NW52AG,600,5163,11.62
M68QQ,794,6832,11.62
HA37AL,520,4476,11.62
CM27DW,1036,8912,11.62
DT65BJ,753,6483,11.61
NW64JD,713,6147,11.6
DN208ED,1190,10258,11.6
B339SD,246,2121,11.6
TW136HD,390,3366,11.59
M281HP,421,3632,11.59
CM158AG,2169,18713,11.59
W44PU,1275,11007,11.58
SK61DJ,1710,14763,11.58
N80RE,270,2332,11.58
M89JE,1213,10473,11.58
B461SR,810,6993,11.58
TS13QW,2203,19046,11.57
CM32EA,794,6860,11.57
B633AU,2536,21921,11.57
SR47EY,1029,8903,11.56
CO123TS,442,3823,11.56
NW64PL,639,5539,11.54
NE662GD,1109,9607,11.54
IP209ER,540,4681,11.54
LN119ET,1328,11522,11.53
IP92LL,405,3512,11.53
S354LQ,1281,11118,11.52
PR10DQ,1401,12165,11.52
WN25AW,1037,9013,11.51
SW170SN,783,6803,11.51
M347GR,889,7724,11.51
WS32DG,1117,9716,11.5
NE340AR,1210,10518,11.5
TN23AR,1302,11336,11.49
SE146QD,1451,12633,11.49
LN119BJ,94,818,11.49
L154LL,602,5241,11.49
M46EE,250,2177,11.48
HA04TH,815,7098,11.48
EN80HX,497,4328,11.48
DA121EN,587,5114,11.48
CH11RN,385,3354,11.48
WA29SF,495,4315,11.47
W148EZ,164,1430,11.47
WV149EP,602,5252,11.46
TN126DG,1516,13232,11.46
M65QQ,774,6765,11.44
OX100BW,1838,16088,11.42
L315LJ,688,6024,11.42
E154BZ,650,5690,11.42
B277UQ,129,1130,11.42
SL13NT,447,3918,11.41
CR01LB,310,2716,11.41
CH649UZ,1189,10419,11.41
BR33QL,486,4260,11.41
OX12LH,495,4343,11.4
NG24BU,321,2816,11.4
S119PF,982,8623,11.39
EN55UR,925,8121,11.39
WS136HL,561,4931,11.38
N89TJ,220,1933,11.38
HP201RP,2298,20188,11.38
BN23LD,499,4385,11.38
M201JP,1532,13469,11.37
N153PA,978,8611,11.36
ME145DY,632,5561,11.36
KT48BQ,172,1514,11.36
E174SA,664,5845,11.36
CT161BW,695,6118,11.36
UB24DD,714,6288,11.35
TN341QY,1335,11767,11.35
SK26QZ,222,1956,11.35
SG11DB,1454,12816,11.35
S138LU,1502,13233,11.35
M130XQ,387,3410,11.35
EN64HT,322,2838,11.35
E111DT,338,2979,11.35
B258AH,571,5030,11.35
AL54TA,57,502,11.35
N176SB,90,794,11.34
GU152EF,236,2081,11.34
LE131NW,1234,10890,11.33
SS38BA,543,4796,11.32
CT65DE,673,5947,11.32
WF175TD,1283,11345,11.31
BB95SN,596,5268,11.31
TW26JS,648,5732,11.3
SE151LA,552,4887,11.3
EX166NW,159,1407,11.3
CT88RF,679,6009,11.3
CR07RA,246,2177,11.3
CH23NJ,854,7557,11.3
TW33DB,505,4472,11.29
SE135BJ,1042,9240,11.28
LU61JJ,1194,10584,11.28
CH11PW,1107,9811,11.28
NW102SL,293,2599,11.27
EN48AE,829,7359,11.27
BA45BE,508,4509,11.27
SN101AT,1756,15590,11.26
NE65QX,1408,12501,11.26
DA52AL,58,515,11.26
BL90EG,442,3924,11.26
RM141AE,1266,11251,11.25
PR17BH,734,6523,11.25
M130QJ,904,8038,11.25
B192TJ,89,791,11.25
S58BE,944,8397,11.24
LE14SX,1190,10587,11.24
E48HH,449,3995,11.24
WR158AA,165,1469,11.23
UB67JZ,257,2289,11.23
DH97UQ,548,4878,11.23
SE164RT,1089,9702,11.22
NG16HW,777,6925,11.22
M192AQ,1454,12960,11.22
BL26PA,1676,14931,11.22
BB26BJ,946,8431,11.22
TF107AT,447,3989,11.21
M415BG,524,4676,11.21
CV130EU,472,4210,11.21
CO43JE,1332,11888,11.2
WF81JY,392,3502,11.19
TS268DD,1996,17844,11.19
SL17JD,1208,10799,11.19
PO305RS,33,295,11.19
M350AN,1309,11694,11.19
NR305AQ,1059,9469,11.18
B664AG,640,5730,11.17
SL67AR,1642,14711,11.16
RM124EQ,894,8018,11.15
TS122LF,568,5101,11.14
SL16JA,775,6958,11.14
HA02DW,1036,9302,11.14
BL53BX,1452,13032,11.14
OL41LR,1016,9130,11.13
DA11YW,669,6010,11.13
CV67BG,145,1303,11.13
BN13BA,713,6406,11.13
W38YF,155,1394,11.12
TN61DR,885,7961,11.12
S446PN,499,4490,11.11
NW10JH,761,6851,11.11
LA141DL,1472,13251,11.11
WV125NU,538,4845,11.1
SK116UT,936,8441,11.09
M329BP,1896,17099,11.09
CV31BN,443,3993,11.09
WV149BX,575,5189,11.08
SL57EN,352,3177,11.08
NE301PW,1846,16654,11.08
MK401DN,263,2374,11.08
RH101AH,967,8740,11.06
RG67HT,543,4911,11.06
HA48SL,853,7711,11.06
TN248JY,1850,16738,11.05
NG82DS,834,7546,11.05
LU33AD,1216,11012,11.04
LE32FP,463,4194,11.04
EX173DY,35,317,11.04
E113NW,566,5128,11.04
CH429PZ,967,8763,11.04
BS137RU,753,6820,11.04
OL97LS,592,5368,11.03
BB95JL,43,390,11.03
DA121DP,804,7294,11.02
BN245DZ,656,5952,11.02
BH11PF,729,6615,11.02
N226RX,316,2870,11.01
ME72YN,608,5522,11.01
DH59JB,614,5577,11.01
B645HJ,3212,29183,11.01
OL13TG,319,2901,11.0
CA174QT,170,1546,11.0
SN126ES,1213,11042,10.99
PE191AJ,1902,17304,10.99
SW191DG,1456,13265,10.98
DL61DY,1441,13126,10.98
M230DF,1605,14632,10.97
TN376PN,915,8346,10.96
SM46RT,458,4177,10.96
SE220RR,541,4937,10.96
CT28LF,1190,10866,10.95
BS14AZ,89,813,10.95
B389BL,380,3471,10.95
N209HS,538,4924,10.93
WR52DL,481,4404,10.92
WD180QL,1731,15847,10.92
W69PL,100,917,10.91
SS39DT,579,5309,10.91
WD64EB,775,7116,10.89
WA158DP,494,4538,10.89
SW161BJ,735,6749,10.89
E78LE,381,3498,10.89
DE222DJ,248,2277,10.89
CV12FL,664,6096,10.89
AL100LN,987,9063,10.89
MK178PL,313,2876,10.88
LU63BS,675,6202,10.88
KT171HF,254,2334,10.88
CH435RF,697,6404,10.88
CR00JG,1292,11887,10.87
BH124LX,1233,11339,10.87
B261BG,1856,17079,10.87
SS39HZ,457,4212,10.85
NE52RS,864,7963,10.85
LS122TJ,50,461,10.85
B296SS,233,2147,10.85
L242SF,448,4131,10.84
DL37BJ,299,2759,10.84
CV91AD,428,3948,10.84
B437NY,1761,16251,10.84
RM143BL,737,6808,10.83
LE41ET,873,8063,10.83
E61AD,851,7857,10.83
DE11LP,829,7654,10.83
BH204JS,749,6919,10.83
W104LD,235,2172,10.82
NW117RX,761,7035,10.82
MK125LW,1642,15180,10.82
ME71AY,334,3087,10.82
HA61ND,142,1312,10.82
BD71PX,272,2515,10.82
SN126LP,968,8956,10.81
LS132ET,1937,17926,10.81
L167PF,400,3699,10.81
HP112QR,891,8243,10.81
NW102PB,672,6220,10.8
EN65DB,426,3945,10.8
BB31ET,587,5436,10.8
HU13AB,786,7282,10.79
B659BA,2070,19193,10.79
B302JL,312,2891,10.79
SN81HQ,486,4509,10.78
RG127SJ,662,6142,10.78
HA51RH,249,2309,10.78
UB81AB,484,4492,10.77
E65LX,872,8095,10.77
DN357AB,862,8004,10.77
NE100RH,808,7508,10.76
L72PF,264,2453,10.76
HP202RR,483,4489,10.76
E14FG,474,4405,10.76
SE135LQ,1362,12678,10.74
HP199PT,454,4226,10.74
SK104BW,771,7186,10.73
HA35DL,328,3057,10.73
BR69JH,433,4037,10.73
E11HE,238,2221,10.72
BR60LF,258,2407,10.72
TW50DP,845,7887,10.71
SW153BD,39,364,10.71
N182TW,638,5955,10.71
L219JN,543,5072,10.71
WF132HQ,636,5942,10.7
L76HD,193,1804,10.7
E20HU,469,4383,10.7
CR77JL,972,9084,10.7
CH604RE,956,8931,10.7
CH492PW,787,7356,10.7
YO322HX,1685,15765,10.69
WS98LX,1126,10532,10.69
RH139HQ,692,6471,10.69
NW36SS,147,1375,10.69
HP30HP,417,3902,10.69
SK105EJ,535,5010,10.68
M168FB,832,7789,10.68
LN83BH,761,7131,10.67
WF94DP,4232,39693,10.66
RH29HU,1938,18172,10.66
NE51EH,1461,13702,10.66
LU11EW,124,1163,10.66
B296BD,610,5725,10.66
DA110AB,541,5080,10.65
B677JH,343,3220,10.65
WF169QS,1856,17440,10.64
PO20AS,704,6617,10.64
M53PH,162,1523,10.64
CH48BL,95,893,10.64
SG141DX,812,7642,10.63
SW185PB,277,2609,10.62
M410SS,1166,10980,10.62
TS101RS,629,5927,10.61
SL73AN,637,6002,10.61
OX183HN,562,5297,10.61
NW33JX,337,3176,10.61
M445AA,1039,9795,10.61
LN21JD,1299,12249,10.6
LA145SL,1405,13252,10.6
DY11JG,1002,9456,10.6
ST61NT,1557,14706,10.59
RG11DB,1257,11873,10.59
OX143JF,303,2862,10.59
EN87RU,504,4759,10.59
RG291NJ,1568,14818,10.58
NW95QF,670,6333,10.58
BH231LN,110,1040,10.58
SN11JS,1175,11112,10.57
SE94EA,503,4761,10.57
SE279BW,125,1183,10.57
NR32HD,929,8790,10.57
N101BS,275,2602,10.57
DY11QE,1218,11523,10.57
BN16SG,572,5409,10.57
SE129NG,362,3429,10.56
S701RY,495,4689,10.56
EX48EH,1543,14614,10.56
WS27JS,974,9233,10.55
SM67JB,737,6987,10.55
HP39LX,281,2664,10.55
HA80AS,479,4542,10.55
WD231GE,799,7581,10.54
TS80TJ,786,7454,10.54
N88JT,356,3377,10.54
GL11DH,2680,25435,10.54
B219SA,738,7002,10.54
NR316PF,535,5079,10.53
LU54BT,851,8084,10.53
E81HR,763,7248,10.53
N176QA,269,2556,10.52
M65PP,179,1702,10.52
M188HE,1159,11020,10.52
WV111TP,1083,10302,10.51
NG43AY,439,4175,10.51
EN107HX,576,5479,10.51
BS31HT,648,6163,10.51
B312QT,1287,12243,10.51
PE91UF,306,2913,10.5
KT152AR,519,4942,10.5
SK164JZ,400,3813,10.49
S63BZ,631,6014,10.49
MK22SA,1031,9826,10.49
DA51AP,644,6141,10.49
EN61BB,665,6351,10.47
B315ER,1136,10856,10.46
NE455DQ,484,4631,10.45
BL09HX,510,4882,10.45
WN58TQ,574,5496,10.44
SS13ES,162,1551,10.44
S703PW,1084,10394,10.43
EX173LF,656,6290,10.43
BS163PL,3457,33129,10.43
SM45PR,474,4548,10.42
SE128PU,181,1737,10.42
B95PA,502,4817,10.42
SS92SH,594,5704,10.41
PE37JB,273,2623,10.41
NR268LA,1104,10604,10.41
MK64AT,1289,12377,10.41
DH14SJ,475,4564,10.41
SK93HQ,979,9410,10.4
OL66HD,2556,24572,10.4
NR78AL,774,7440,10.4
LS165BG,564,5428,10.39
UB35DA,259,2494,10.38
TR152SX,212,2042,10.38
M337AD,1224,11794,10.38
HP270AT,973,9371,10.38
EX392ND,11,106,10.38
YO422QB,527,5081,10.37
TA229EN,933,8994,10.37
SL23PQ,924,8914,10.37
M33NW,277,2672,10.37
DE141JN,861,8302,10.37
WF132JH,738,7125,10.36
RG129QA,422,4075,10.36
CT92PA,2055,19837,10.36
CR06RG,279,2692,10.36
TS146AW,746,7211,10.35
ST136AF,1198,11574,10.35
OL158AU,456,4407,10.35
M160HU,439,4243,10.35
L300QG,1027,9926,10.35
CH35LB,2193,21191,10.35
TS146QD,441,4266,10.34
SG29RE,875,8464,10.34
M332UG,821,7937,10.34
TW31LR,380,3678,10.33
TW209QW,543,5254,10.33
SS09LG,3371,32625,10.33
BA28DJ,139,1345,10.33
IG88AS,442,4281,10.32
HU46SB,902,8742,10.32
CM61AE,984,9535,10.32
BN177JJ,404,3916,10.32
TF11EW,1173,11381,10.31
CW13AW,507,4916,10.31
BD58DN,848,8226,10.31
B57NX,1521,14749,10.31
RM30DP,589,5716,10.3
DA110PA,871,8455,10.3
CH430TY,988,9596,10.3
SK67AD,219,2129,10.29
S264WD,1252,12162,10.29
NW103EN,95,923,10.29
LA145QH,358,3479,10.29
NW53HG,429,4173,10.28
NE333PH,1013,9856,10.28
N226EB,397,3861,10.28
DA162DH,1133,11019,10.28
WF29BQ,1462,14237,10.27
LS158EU,2054,20009,10.27
DT11RR,447,4354,10.27
SL68AJ,503,4902,10.26
SE231BX,331,3227,10.26
NW12NT,276,2690,10.26
GL114AE,2246,21894,10.26
DY83PA,1292,12588,10.26
CB21QA,245,2388,10.26
SK101DQ,790,7711,10.25
N99DY,1521,14833,10.25
CW26JG,173,1688,10.25
CV212PS,837,8165,10.25
BR87AT,1036,10112,10.25
SE13GF,406,3964,10.24
EN91DL,520,5076,10.24
SW197BD,376,3677,10.23
OX136DN,1459,14266,10.23
OX118EL,203,1984,10.23
HP12AL,1260,12319,10.23
IP186AB,781,7639,10.22
BL90ST,996,9744,10.22
BH213LN,2395,23432,10.22
SW129DY,1922,18825,10.21
OX44HS,1041,10199,10.21
OL42SF,777,7610,10.21
GL24AL,195,1910,10.21
M274EJ,1486,14570,10.2
L326QS,464,4550,10.2
HP27QD,1141,11189,10.2
S702RA,1016,9969,10.19
NW52AB,573,5623,10.19
HP109LT,240,2355,10.19
DL104AB,1027,10081,10.19
WS109JS,710,6977,10.18
NE242DS,708,6954,10.18
IG26PQ,693,6806,10.18
GL155DG,648,6363,10.18
SK116PN,574,5646,10.17
BL21JJ,978,9613,10.17
TS181PS,694,6829,10.16
S705AD,266,2618,10.16
MK402NR,871,8574,10.16
M84JX,347,3414,10.16
M300PF,1130,11119,10.16
L373PF,1110,10920,10.16
B463BJ,1214,11954,10.16
SG128AA,568,5597,10.15
OL45SR,818,8057,10.15
IG96AQ,112,1103,10.15
YO125AT,880,8675,10.14
TS198JY,500,4936,10.13
N156JR,665,6567,10.13
DN212BU,900,8882,10.13
TF15GQ,571,5645,10.12
OL98AP,248,2451,10.12
N154NP,563,5565,10.12
BD193HH,1036,10239,10.12
B692AJ,588,5809,10.12
S740PB,838,8287,10.11
IP198EP,820,8113,10.11
GL11HX,616,6094,10.11
WA74NW,578,5723,10.1
L147QH,654,6478,10.1
IP92RX,77,762,10.1
LS176HQ,981,9724,10.09
HR12PH,156,1546,10.09
BL79BS,1104,10941,10.09
RM175HH,418,4145,10.08
PO142LE,134,1330,10.08
OX286DB,718,7121,10.08
YO241AQ,687,6820,10.07
PO191PL,1506,14955,10.07
LS249AL,447,4439,10.07
BR88AE,368,3656,10.07
NN110XY,754,7498,10.06
L133DL,1126,11198,10.06
E139AP,593,5893,10.06
B988DJ,1264,12560,10.06
WS33JT,700,6964,10.05
SG49RW,261,2596,10.05
NW13QT,355,3533,10.05
NR231RF,77,766,10.05
DY117BW,1114,11089,10.05
CM35TQ,992,9869,10.05
AL51QQ,1622,16145,10.05
LS226SL,1292,12873,10.04
LE46RJ,715,7120,10.04
HG15PD,822,8190,10.04
EX81DL,427,4251,10.04
CR06SE,782,7789,10.04
B114AP,524,5221,10.04
YO126AF,611,6089,10.03
WA27QJ,1524,15193,10.03
W21UL,447,4455,10.03
CT65JY,728,7255,10.03
AL100PL,776,7735,10.03
SM53DE,644,6424,10.02
NE261DS,860,8579,10.02
L252XE,894,8919,10.02
NW109QH,194,1939,10.01
SG51JW,561,5612,10.0
S802BE,1108,11077,10.0
OX92BZ,787,7871,10.0
NN171RZ,1504,15042,10.0
YO17NP,1741,17425,9.99
TW47DN,143,1432,9.99
SK122AA,301,3013,9.99
SE85QW,776,7770,9.99
SE145DG,1400,14014,9.99
RM64BB,1236,12367,9.99
NR318HB,972,9731,9.99
LE159QH,405,4055,9.99
HA30QA,530,5306,9.99
BS311AF,629,6294,9.99
WN57PF,727,7286,9.98
WA51UB,909,9108,9.98
BB98ND,329,3296,9.98
TN235GR,193,1936,9.97
SM39AG,683,6857,9.96
SK141HF,1396,14021,9.96
ME50PU,650,6526,9.96
E154LY,272,2730,9.96
WA102JL,1448,14551,9.95
SE91SB,321,3225,9.95
SE78DP,428,4300,9.95
LE28TA,206,2070,9.95
ME101NA,427,4294,9.94
M36BZ,650,6542,9.94
DT73HR,225,2264,9.94
SE181HF,174,1753,9.93
M264FA,282,2839,9.93
LA11RQ,341,3434,9.93
BA77BJ,1122,11295,9.93
YO111JR,167,1683,9.92
TW12EB,600,6050,9.92
RM137XR,465,4689,9.92
KT67DG,1119,11280,9.92
DN47JA,561,5653,9.92
EX135HU,589,5946,9.91
BB72HJ,461,4653,9.91
B130AW,500,5045,9.91
TS55HR,487,4919,9.9
SN118AA,414,4180,9.9
SG99AB,748,7555,9.9
MK181NT,667,6737,9.9
LE22BE,48,485,9.9
CM35XB,828,8361,9.9
BS59AP,982,9922,9.9
SW111PX,640,6474,9.89
ME44NU,699,7068,9.89
LA11NE,2191,22160,9.89
DN226NX,2108,21314,9.89
B202ES,543,5491,9.89
WR141NE,1808,18301,9.88
RG46NY,798,8077,9.88
N135XD,674,6819,9.88
SK43BY,1081,10953,9.87
RH109TF,703,7120,9.87
M350AS,444,4500,9.87
CM201DP,1384,14027,9.87
CH496JY,1019,10324,9.87
TW136AD,484,4909,9.86
NE403HQ,845,8572,9.86
KT199EX,1303,13216,9.86
EN62EB,415,4211,9.86
CM164BA,713,7231,9.86
B25AR,62,629,9.86
WS109JL,469,4763,9.85
UB34BX,899,9130,9.85
ST72EZ,125,1269,9.85
ST11ER,967,9815,9.85
S61TT,527,5352,9.85
OX12NA,637,6465,9.85
N32NA,311,3158,9.85
DA100AG,506,5139,9.85
WF62AZ,1080,10977,9.84
UB109JY,130,1323,9.83
M415AN,985,10023,9.83
DY84BU,474,4821,9.83
CR26NN,604,6145,9.83
WN58ND,543,5527,9.82
TW76NN,563,5731,9.82
ST20BJ,959,9761,9.82
SN146GT,1149,11698,9.82
SG29XU,848,8634,9.82
LU12RD,1565,15934,9.82
HP136RU,728,7410,9.82
SE58EE,57,581,9.81
OX266JU,2052,20928,9.81
HP79PZ,488,4972,9.81
CW69UN,617,6291,9.81
CT91DL,409,4170,9.81
CO27EA,1145,11671,9.81
BD21LN,457,4660,9.81
N103DU,420,4286,9.8
