PRACTICE_POSTCODE,Urgent_Count,Total_Count,Pressure_Index_Pct
OL127NH,1259,4585,27.46
DA76HJ,749,2785,26.89
W23BP,1712,6376,26.85
BN33DX,360,1345,26.77
WD180PD,1289,4851,26.57
N42AA,279,1052,26.52
ME124AA,94,356,26.4
NG139FQ,96,366,26.23
MK22EH,1077,4120,26.14
PO14ND,4999,19285,25.92
TS101BD,182,704,25.85
TN231JJ,234,907,25.8
FY69AG,244,947,25.77
W21ES,1799,7039,25.56
SR81BT,2040,7993,25.52
CR01EW,2783,10970,25.37
L43RL,2245,8874,25.3
LU12AL,1420,5628,25.23
WF128DJ,2030,8099,25.06
DA175QQ,1093,4363,25.05
IG110LG,990,3959,25.01
B377TP,3679,14753,24.94
CH449DQ,67,269,24.91
GU147SB,3070,12379,24.8
LS251AA,5206,21032,24.75
B911AA,1850,7572,24.43
IG117RL,4325,17776,24.33
DL167LD,164,680,24.12
LS85DH,2683,11130,24.11
ME141UZ,161,669,24.07
WA101SN,924,3855,23.97
BR52RG,960,4010,23.94
PE220QX,57,239,23.85
TF43AL,481,2018,23.84
WA44RL,129,543,23.76
PR29QB,561,2362,23.75
N80JG,933,3928,23.75
SW59RL,235,993,23.67
KT25QY,490,2075,23.61
S62SA,1220,5169,23.6
BB51EH,317,1343,23.6
NG210JP,2041,8683,23.51
HR12ES,1382,5896,23.44
SE83PR,1451,6195,23.42
M278FB,175,748,23.4
EX70NH,1099,4724,23.26
CM95BS,1243,5373,23.13
RG226ER,7803,33926,23.0
SM51AG,3186,13871,22.97
W93EF,540,2369,22.79
WS86EQ,795,3521,22.58
DN311EY,6245,27657,22.58
CO45EG,1714,7599,22.56
HA37BA,1984,8810,22.52
DT65DU,432,1919,22.51
PE280SR,86,384,22.4
SE58QU,2327,10401,22.37
EN54BW,442,1984,22.28
YO126UA,204,916,22.27
NG147DA,91,409,22.25
SE129PP,1392,6259,22.24
LS146HT,2295,10332,22.21
S71FD,1574,7093,22.19
NW23JR,582,2627,22.15
DL170HF,104,470,22.13
W130SY,1083,4898,22.11
EC1V9DS,644,2915,22.09
BN14GB,526,2386,22.05
N156SB,815,3698,22.04
M72JB,2090,9489,22.03
MK23HN,345,1571,21.96
SM60HW,673,3068,21.94
PR99SD,1180,5379,21.94
SS142EZ,1667,7605,21.92
CW84AN,1104,5057,21.83
SL11EQ,4331,19845,21.82
CO12PJ,1209,5553,21.77
SE29BH,948,4358,21.75
E81EP,1237,5704,21.69
DH63NT,1606,7415,21.66
SM25PJ,49,227,21.59
RM204AR,801,3718,21.54
SE280FJ,142,660,21.52
SM44DX,614,2870,21.39
B112HR,519,2428,21.38
WD61AT,1380,6480,21.3
NE109ND,2189,10317,21.22
BR28AR,1450,6872,21.1
NE18DQ,1436,6823,21.05
SK116XN,3538,16854,20.99
NW67JG,152,724,20.99
B192ER,649,3108,20.88
TN393JD,36,173,20.81
SE233HN,2606,12544,20.77
LE112AG,2103,10124,20.77
HA29LW,1001,4827,20.74
N128PR,1698,8190,20.73
BN19RW,93,450,20.67
W112SE,1090,5283,20.63
W1H4JL,497,2412,20.61
W127DA,863,4190,20.6
SW61NW,5687,27720,20.52
B680DY,134,653,20.52
YO71DA,2121,10377,20.44
PL34DA,1713,8382,20.44
RM94TP,1759,8613,20.42
EX388EU,183,898,20.38
CT12NA,939,4608,20.38
BD89EH,1234,6064,20.35
TW46LE,639,3151,20.28
HD61JL,544,2686,20.25
OL161PZ,2583,12779,20.21
L392AZ,2466,12205,20.2
E20AN,600,2976,20.16
TD152EQ,859,4262,20.15
NR256QA,311,1548,20.09
NE17PG,1099,5474,20.08
NE661PR,1427,7115,20.06
YO613JB,318,1587,20.04
SN15JE,1171,5850,20.02
CH619NG,1004,5015,20.02
M609AH,106,531,19.96
SE256XP,1203,6041,19.91
E179BD,1694,8527,19.87
YO164EL,695,3499,19.86
LS96NQ,434,2186,19.85
SW61NP,227,1146,19.81
CH410DA,2699,13644,19.78
B191SU,862,4367,19.74
LE184WS,71,360,19.72
BN14EP,2103,10687,19.68
OL13SL,1607,8170,19.67
EN40AX,1622,8245,19.67
SW83RE,178,907,19.63
UB11RT,334,1707,19.57
NE165LR,1441,7367,19.56
S94LP,3791,19404,19.54
PR268NE,62,319,19.44
TF93AL,107,551,19.42
M308DH,1464,7556,19.38
NE646PF,2282,11787,19.36
LS102AR,2312,11951,19.35
CR02RL,1440,7447,19.34
PR21HR,40,207,19.32
M221UB,1176,6099,19.28
B797JS,3039,15769,19.27
PL144BH,797,4150,19.2
DL128EJ,1648,8583,19.2
W105NE,1438,7502,19.17
TW74QG,519,2707,19.17
NE52LH,1953,10186,19.17
N136JP,558,2918,19.12
BH25RY,1729,9045,19.12
LA11UU,3154,16549,19.06
TW34DH,1340,7034,19.05
NW96HS,763,4006,19.05
N111AT,822,4318,19.04
E177DB,1815,9532,19.04
PR15AF,278,1461,19.03
CH468TR,1031,5422,19.02
S751AA,1637,8616,19.0
WS31BZ,791,4167,18.98
S701TS,949,5005,18.96
SL22DG,680,3590,18.94
TN48DG,393,2076,18.93
DA146HH,720,3812,18.89
E11JE,1252,6630,18.88
CV13FE,27,143,18.88
DH90JE,2919,15484,18.85
L374AB,1573,8358,18.82
HA85JY,1066,5665,18.82
DT93JF,1382,7349,18.81
TR36DP,1217,6476,18.79
NE137DS,177,942,18.79
TS69EP,2095,11158,18.78
DH64AA,1342,7145,18.78
TR274DX,1188,6329,18.77
N155AG,632,3367,18.77
KT13PD,390,2080,18.75
SR79AA,967,5175,18.69
EX166RR,1809,9688,18.67
SR77SP,1110,5947,18.66
W149NL,1506,8075,18.65
RM142TR,1099,5899,18.63
E107EA,976,5244,18.61
B321DJ,444,2386,18.61
CV64FE,343,1849,18.55
NW17JL,938,5058,18.54
CA11NL,1251,6749,18.54
DT117EX,908,4906,18.51
BH107AR,289,1561,18.51
CH657AG,1941,10493,18.5
NW15PN,1299,7027,18.49
S21RA,1403,7592,18.48
PE191BG,1133,6140,18.45
SR11QH,762,4134,18.43
EX391AZ,1652,8963,18.43
HA26ED,1742,9458,18.42
BD233RS,940,5102,18.42
YO625EZ,934,5073,18.41
CM20JG,3661,19883,18.41
M201BE,594,3236,18.36
BN238BR,1819,9908,18.36
HU179HZ,950,5176,18.35
CT139BB,892,4860,18.35
DN75AA,390,2126,18.34
E97LJ,192,1049,18.3
M191WA,854,4693,18.2
TQ27AG,256,1407,18.19
CM11SY,3053,16808,18.16
TN91DB,242,1333,18.15
NE77XS,1013,5588,18.13
N165TR,1107,6106,18.13
TR183PE,115,635,18.11
N76JD,417,2302,18.11
CR02JH,678,3746,18.1
B276DN,1230,6798,18.09
DE554LP,2116,11709,18.07
SR53PZ,133,739,18.0
CV312NF,671,3730,17.99
SE207JA,902,5019,17.97
B903LU,294,1641,17.92
N213PA,1967,10980,17.91
YO433AG,1775,9917,17.9
SW139DW,1093,6105,17.9
HP112AG,2074,11594,17.89
S749AU,2317,12968,17.87
E130RQ,471,2636,17.87
TQ58DA,414,2320,17.84
NR324PH,4539,25466,17.82
N78TT,103,579,17.79
TR152QB,404,2274,17.77
SL25JP,1439,8123,17.72
SW165TD,376,2123,17.71
BN34AA,384,2169,17.7
W111HA,267,1509,17.69
NW35EG,478,2702,17.69
SE83BN,629,3560,17.67
WA67EB,1304,7385,17.66
M24AF,136,771,17.64
OX37RD,906,5142,17.62
NW52HR,472,2679,17.62
LE651EL,796,4518,17.62
KT65NF,618,3509,17.61
CA13UD,1373,7797,17.61
SW67SR,528,3001,17.59
SO197RD,1745,9932,17.57
EX226BB,849,4848,17.51
WA60AW,1752,10012,17.5
TW148DF,818,4686,17.46
LE157RD,65,373,17.43
NE288HG,1149,6596,17.42
SO239EH,1480,8510,17.39
PE127DN,617,3550,17.38
PL220EN,626,3606,17.36
NR50RS,1792,10320,17.36
L58XR,325,1880,17.29
DH85HU,794,4596,17.28
N77PX,2551,14790,17.25
HA03HF,610,3537,17.25
CH441BA,2189,12708,17.23
UB11SQ,5790,33698,17.18
L343LD,1614,9392,17.18
EN35JL,2848,16588,17.17
BB80NQ,1788,10426,17.15
WA86JT,3418,19957,17.13
W128HD,912,5324,17.13
HA12RX,548,3206,17.09
YO256BQ,2025,11872,17.06
NN15BA,1595,9360,17.04
L192LY,1651,9694,17.03
PR97PW,805,4733,17.01
MK401RN,1142,6729,16.97
DL37LX,1050,6196,16.95
WA129SH,2690,15884,16.94
N43EN,168,992,16.94
BL98JR,1622,9574,16.94
SE14TL,559,3306,16.91
RM108AP,942,5578,16.89
SS75LD,3882,23005,16.87
W67JP,248,1471,16.86
PR21HQ,1923,11409,16.86
DY48HB,950,5634,16.86
CT195NJ,1578,9360,16.86
LS99JD,920,5465,16.83
SW1V3HD,916,5445,16.82
HA62YP,571,3397,16.81
BN34EB,474,2820,16.81
SW61NN,1056,6290,16.79
RG28HA,763,4544,16.79
NW88EU,560,3338,16.78
E149DH,257,1533,16.76
SW164DP,403,2406,16.75
N167HU,1202,7199,16.7
S613JN,2797,16772,16.68
DN123DB,1742,10465,16.65
L215HE,1315,7905,16.64
BD146RH,1237,7439,16.63
E105AB,833,5011,16.62
BH26NG,1761,10597,16.62
NW109EP,1347,8113,16.6
L140NL,1065,6415,16.6
CA143DZ,819,4948,16.55
PR83HS,398,2406,16.54
GL510LG,128,776,16.49
LS167SR,1752,10639,16.47
SS54EZ,1237,7521,16.45
BB48HH,3396,20658,16.44
KT205PU,1316,8035,16.38
S205AF,2212,13514,16.37
WD61BD,1266,7739,16.36
W86SU,205,1253,16.36
HA39RT,1742,10678,16.31
HX11UX,4946,30437,16.25
SY95BN,639,3934,16.24
TS60NQ,3172,19546,16.23
SE207HB,525,3237,16.22
M246DL,3826,23585,16.22
SW163PE,1509,9309,16.21
PO12QG,625,3861,16.19
WA91PB,427,2640,16.17
N51SH,130,804,16.17
BN211BA,1049,6486,16.17
RG315DG,699,4327,16.15
SE61AG,657,4070,16.14
PE252AG,1233,7638,16.14
S61LA,1447,8972,16.13
SW50PT,821,5094,16.12
EC2A3BS,838,5202,16.11
E106AP,440,2732,16.11
WA11JA,2388,14843,16.09
SM27AF,319,1982,16.09
WA101RX,872,5428,16.06
N10SQ,355,2210,16.06
UB96BU,819,5104,16.05
NE32RJ,438,2730,16.04
HP180TL,55,343,16.03
SL13EG,884,5519,16.02
EX328PB,1622,10123,16.02
SW147JU,105,656,16.01
DA11YD,289,1805,16.01
W113JE,119,745,15.97
NG81HQ,658,4121,15.97
NE323JA,1908,11946,15.97
HX12QW,1960,12276,15.97
TS55PH,3677,23118,15.91
NW18NX,819,5150,15.9
CH445TL,210,1323,15.87
E17NE,401,2528,15.86
DE130AT,494,3115,15.86
TS66UX,3716,23468,15.83
BS139RG,1492,9428,15.83
CO101HW,1353,8566,15.8
W73PX,1525,9683,15.75
PL312QT,92,584,15.75
RM125LH,2447,15549,15.74
W23RL,85,541,15.71
SW59QQ,532,3389,15.7
CA287QF,1170,7451,15.7
NR323AZ,1473,9390,15.69
L127JG,681,4340,15.69
SW162SZ,468,2985,15.68
NW108SY,770,4911,15.68
NE650LE,1614,10294,15.68
TW77AA,882,5640,15.64
B83JA,570,3646,15.63
SE42EY,416,2664,15.62
RM66RL,2218,14221,15.6
GU350AX,592,3795,15.6
B95QJ,334,2141,15.6
NG250AL,149,956,15.59
SN12DQ,45,289,15.57
N11QN,3751,24094,15.57
LE113TT,795,5106,15.57
SW115TQ,998,6417,15.55
SK27DD,1885,12126,15.55
WF118EB,2692,17328,15.54
TS251RR,1985,12770,15.54
DL149HW,1984,12769,15.54
OX165QB,1444,9300,15.53
E63BA,228,1470,15.51
NN160BE,258,1665,15.5
WA75RL,1463,9444,15.49
M80AB,1382,8923,15.49
L369XB,1826,11787,15.49
PO317ER,107,691,15.48
OL68NX,1804,11651,15.48
L269UH,146,943,15.48
TS199JW,1187,7678,15.46
HA98EL,575,3720,15.46
HP112QL,1253,8114,15.44
CO153AW,230,1493,15.41
B192TZ,727,4718,15.41
OL139NR,758,4940,15.34
DH15EJ,1325,8640,15.34
NE48DP,1855,12111,15.32
CV25HB,3988,26048,15.31
SO199UL,1919,12539,15.3
SE93TE,1175,7682,15.3
CO153BW,2143,14003,15.3
TS197PP,1332,8722,15.27
PO160ET,2128,13949,15.26
CM20JY,1232,8071,15.26
NG75JE,735,4819,15.25
LS81NU,1020,6699,15.23
B129QP,436,2862,15.23
NW96NB,491,3225,15.22
M84QS,311,2044,15.22
SE183SH,1393,9157,15.21
M229TD,3063,20137,15.21
NE61SD,2394,15772,15.18
NW67QE,529,3487,15.17
N89BJ,298,1965,15.17
N225NN,394,2598,15.17
W54QR,654,4316,15.15
W36LJ,519,3433,15.12
W53UL,575,3806,15.11
CT79RE,1376,9108,15.11
LS29HB,745,4934,15.1
SW71NA,1832,12141,15.09
RG121FA,3213,21314,15.07
HA89BP,911,6052,15.05
BD95BU,983,6531,15.05
L250LQ,401,2667,15.04
UB67DH,676,4497,15.03
E61AB,66,439,15.03
E12AH,325,2163,15.03
DH21NP,732,4870,15.03
WD194JP,800,5326,15.02
SW1V1QT,153,1019,15.01
L363YE,291,1939,15.01
CR06BB,237,1579,15.01
W84SG,968,6455,15.0
L130AB,1992,13278,15.0
SW161QB,876,5845,14.99
DA68BW,2931,19556,14.99
NR180RF,2412,16107,14.97
N181ND,620,4148,14.95
CR08BE,1249,8367,14.93
NE119SJ,990,6636,14.92
L92BL,783,5252,14.91
B82HF,2481,16654,14.9
EN34DZ,1545,10377,14.89
E84RP,699,4696,14.89
NE108XQ,2607,17515,14.88
NE81LU,1737,11678,14.87
HX29HD,1487,10001,14.87
WA101HQ,1170,7881,14.85
SK85DB,1153,7769,14.84
W36LY,266,1794,14.83
BS50PG,772,5204,14.83
NG138AG,151,1019,14.82
BH154AX,1078,7281,14.81
SW67EN,59,399,14.79
NW103JL,411,2779,14.79
EN40DW,1088,7358,14.79
SE254BJ,820,5549,14.78
HA96DG,1177,7962,14.78
B83NU,1113,7530,14.78
WR40DZ,412,2792,14.76
WR118TZ,67,454,14.76
E112AQ,1998,13540,14.76
SE193LQ,1031,6994,14.74
RM109PT,1004,6813,14.74
N41EU,121,821,14.74
LE30BH,477,3236,14.74
HP24XH,693,4700,14.74
BB12AE,1833,12445,14.73
E32RN,656,4459,14.71
WA129QB,1500,10205,14.7
UB33EF,575,3913,14.69
M193DL,433,2947,14.69
W24DB,314,2139,14.68
UB56BW,575,3918,14.68
TS96BW,875,5960,14.68
MK181NS,1735,11817,14.68
S336RG,1124,7664,14.67
SE114PP,692,4719,14.66
BN251UE,599,4090,14.65
OL11TE,352,2404,14.64
SS155HG,1613,11027,14.63
W1K5QL,338,2312,14.62
SK224BP,428,2931,14.6
DY47AR,801,5488,14.6
NN81LT,1369,9382,14.59
B689NB,424,2908,14.58
OX30BP,2127,14610,14.56
TW74EJ,932,6414,14.53
SL21HA,965,6640,14.53
SW99SU,1045,7197,14.52
KT152GL,287,1977,14.52
TR182LG,518,3570,14.51
M314FY,1357,9351,14.51
NG32FW,913,6296,14.5
B94QA,1051,7254,14.49
UB55AE,1322,9142,14.46
N226BH,278,1924,14.45
ME121UN,1961,13570,14.45
DA110EF,704,4875,14.44
KT92AE,1266,8775,14.43
E28AL,781,5413,14.43
GL13HF,3066,21258,14.42
WD61QJ,792,5495,14.41
NE34AA,1598,11091,14.41
HR68NY,758,5261,14.41
RM164BJ,650,4518,14.39
NG316TS,247,1720,14.36
SE186EA,713,4967,14.35
YO256AP,758,5287,14.34
M437AD,2569,17909,14.34
NR302QP,1499,10459,14.33
M98WQ,676,4717,14.33
SW161DR,695,4852,14.32
BB30AA,1765,12323,14.32
SN47AA,77,538,14.31
BA160EW,289,2020,14.31
SW47DE,861,6027,14.29
CV24ED,1710,11963,14.29
W106HA,873,6112,14.28
SW114PR,1328,9308,14.27
SW21NR,992,6957,14.26
HD16JE,641,4494,14.26
WA103HG,959,6729,14.25
SW191AW,464,3260,14.23
NE245EZ,3065,21534,14.23
KT33PB,719,5055,14.22
WF160JU,263,1852,14.2
NE32DQ,760,5353,14.2
BR60LZ,599,4218,14.2
TN380TU,1459,10279,14.19
SO199GH,1342,9457,14.19
SE62NZ,3086,21742,14.19
SE266DP,934,6582,14.19
CH633EB,2739,19296,14.19
OL79AW,925,6523,14.18
DL167SE,642,4529,14.18
BL90DZ,1201,8471,14.18
DT51LR,254,1793,14.17
ME11EY,494,3489,14.16
PL48HB,1084,7661,14.15
N70RN,1901,13431,14.15
IG62AZ,319,2255,14.15
NR289AT,95,672,14.14
B664JX,767,5425,14.14
HR95HB,323,2286,14.13
YO149AH,493,3491,14.12
UB54NN,546,3869,14.11
ST174BP,183,1297,14.11
SM46JH,824,5840,14.11
SE186HZ,1166,8263,14.11
CR06AB,265,1881,14.09
BA149AA,610,4330,14.09
E112PU,222,1578,14.07
CH416AZ,540,3838,14.07
ST174AA,1498,10652,14.06
HD89AE,386,2748,14.05
B168XP,2020,14404,14.02
S459PG,1150,8223,13.99
WA93JN,437,3125,13.98
NE461BA,348,2490,13.98
CH424NG,246,1762,13.96
M460AU,516,3700,13.95
TN120BL,378,2711,13.94
CR42PF,542,3888,13.94
WA86GD,884,6347,13.93
M27HA,1662,11927,13.93
M145AT,951,6828,13.93
YO626AD,933,6701,13.92
WN68HA,759,5455,13.91
HA02LP,599,4306,13.91
FY13EJ,5271,37889,13.91
B219QG,599,4305,13.91
GU323JL,427,3073,13.9
WV60BN,273,1966,13.89
W93JE,589,4248,13.87
M94LY,934,6735,13.87
M188LY,734,5292,13.87
B237PF,948,6835,13.87
NN168XG,2277,16440,13.85
GU299NX,528,3819,13.83
CV67HB,978,7073,13.83
CH428NA,1754,12682,13.83
BL33AT,425,3072,13.83
CM82AB,2963,21444,13.82
NE225TZ,1210,8764,13.81
CO130AR,585,4237,13.81
NR302JN,1509,10933,13.8
HA88LX,987,7153,13.8
CR77NA,198,1435,13.8
CH628AD,1767,12818,13.79
UB69QD,309,2242,13.78
TR50TX,1101,7989,13.78
DA125SG,642,4658,13.78
B219BN,484,3513,13.78
NE638NQ,1028,7473,13.76
NR70UD,3969,28873,13.75
HD93JA,1699,12366,13.74
BN12PE,428,3115,13.74
BN108LT,53,386,13.73
AL14JE,1250,9102,13.73
S72BG,730,5320,13.72
EX388DY,925,6743,13.72
SE172TE,1466,10691,13.71
M192HR,2133,15560,13.71
YO84QA,250,1825,13.7
NE611QF,522,3810,13.7
WC2H0LA,26,190,13.68
TR151JU,662,4840,13.68
CA139PH,150,1097,13.67
TW26JL,1156,8472,13.64
HP124JN,1230,9021,13.63
ME87HB,497,3653,13.61
IG11BE,1270,9334,13.61
YO127HT,965,7096,13.6
SE279BU,1441,10594,13.6
W73DB,1200,8833,13.59
SW170TD,242,1781,13.59
BS11YA,987,7261,13.59
B708ET,1488,10952,13.59
CH36BS,941,6927,13.58
TW107NF,638,4700,13.57
SE77EY,753,5551,13.57
BN72LN,981,7232,13.56
RH185DW,594,4384,13.55
IG62JX,400,2953,13.55
S252EX,2075,15341,13.53
N80PH,163,1206,13.52
ME44RH,1231,9102,13.52
L353SX,226,1671,13.52
BH37AN,1886,13947,13.52
DY81EJ,57,422,13.51
B187BA,443,3279,13.51
W36NP,822,6090,13.5
SE93BB,579,4292,13.49
GU113HU,979,7255,13.49
B219HF,606,4494,13.48
WD31AN,384,2850,13.47
M97ED,464,3446,13.46
GL40QJ,616,4575,13.46
CT51DG,1639,12181,13.46
SM14BW,511,3799,13.45
OX38DJ,131,975,13.44
NE312UL,1055,7851,13.44
N70BT,1669,12422,13.44
M333AB,1652,12296,13.44
SL64DT,964,7184,13.42
S402EN,790,5885,13.42
N14NB,696,5186,13.42
DY48SW,558,4158,13.42
SW1V1DE,55,410,13.41
SE232LR,1155,8613,13.41
IG38JB,631,4708,13.4
DL37AJ,1189,8873,13.4
DL54UE,454,3393,13.38
CR76AR,418,3125,13.38
BS162HH,1814,13558,13.38
TA63PN,300,2244,13.37
DL178LG,148,1108,13.36
CV63EX,864,6470,13.35
BH63QN,1807,13532,13.35
TW184ND,725,5433,13.34
WV23DN,2234,16764,13.33
TW31NP,861,6459,13.33
LE31AL,295,2215,13.32
E96QT,895,6721,13.32
CH642TN,532,3994,13.32
B975JB,382,2868,13.32
N41LA,250,1880,13.3
E147PQ,378,2843,13.3
TS296JH,218,1644,13.26
SP97NN,454,3423,13.26
CH643RP,690,5208,13.25
B191JD,758,5722,13.25
SR11NF,848,6403,13.24
HP13RE,642,4849,13.24
OX27JF,1221,9230,13.23
KT185BH,1085,8198,13.23
