PRACTICE_CODE,PRACTICE_POSTCODE,total_rows,total_cot,total_uda,avg_uda_per_cot,child_count,nonpaying_count,paying_count,band1,band2a,band2b,band2c,band3,urgent_count,free_count,reg11_count
V002325,B35 6DL,80,16232,44174.8,2.72,25,24,31,12,12,12,12,12,12,5,3
V002327,B33 9SD,96,2121,6119.4,2.89,26,35,35,18,18,18,6,14,18,4,0
V002329,B23 6BJ,73,7429,16359.8,2.2,21,22,30,12,12,12,7,11,12,5,2
V002330,KT3 6AH,63,2850,5086.0,1.78,20,20,23,12,12,11,3,12,12,0,1
V002331,B23 7PF,138,6835,17085.0,2.5,38,44,56,24,24,24,12,21,23,6,4
V002333,KT3 3PB,71,5055,10538.8,2.08,23,24,24,12,12,12,11,12,12,0,0
V002334,B27 6BH,75,8025,22462.4,2.8,21,24,30,12,12,12,7,12,12,4,4
V002336,KT3 3NB,63,4584,8009.6,1.75,18,19,26,12,12,12,5,11,6,4,0
V002337,B23 6DJ,64,2092,2862.4,1.37,14,24,26,12,12,12,1,9,8,2,0
V002338,KT3 3LX,70,8308,16332.0,1.97,22,21,27,12,12,12,6,12,12,3,1
V002339,KT3 4QS,62,7651,12380.4,1.62,20,21,21,12,12,12,2,12,12,0,0
V002344,KT6 6HX,36,855,1056.2,1.24,16,9,11,12,12,4,0,0,8,0,0
V002345,WF1 2JL,93,6445,9856.2,1.53,30,36,27,14,19,18,2,12,24,3,1
V002351,KT6 7BZ,60,2404,4299.0,1.79,20,19,21,12,12,11,1,12,12,0,0
V002352,KT6 7DG,105,11280,28474.8,2.52,27,35,43,19,24,20,11,12,12,4,3
V002354,KT5 9ET,60,3172,5859.6,1.85,16,16,28,12,12,9,4,7,12,4,0
V002356,B25 8TH,75,11056,22242.0,2.01,20,24,31,12,12,12,9,11,12,4,3
V002357,WF2 9BQ,76,14237,28540.4,2.0,23,22,31,12,12,12,8,12,12,5,3
V002359,WF2 0NL,57,1942,3105.4,1.6,17,20,20,12,12,12,0,6,12,3,0
V002360,B26 3HD,70,6040,14327.0,2.37,22,24,24,12,12,12,8,12,12,2,0
V002364,B23 5XB,65,3839,9677.2,2.52,21,20,24,12,12,12,4,12,12,1,0
V002365,WF4 1NF,71,5446,10897.2,2.0,19,24,28,12,12,12,9,10,12,4,0
V002366,B23 6XA,73,7320,18097.6,2.47,23,24,26,12,12,12,9,12,12,4,0
V002367,WF4 4NQ,64,5258,10190.8,1.94,17,20,27,12,12,12,3,9,12,4,0
V002368,B8 2NW,76,2647,6028.8,2.28,23,25,28,15,15,15,0,13,15,3,0
V002369,WF4 3EF,62,4629,8082.4,1.75,18,20,24,12,12,11,3,9,12,3,0
V002370,B33 0HS,73,8562,25699.8,3.0,22,24,27,12,12,12,6,12,12,3,1
V002371,TW1 3EJ,60,4803,7404.8,1.54,19,20,21,12,12,12,1,11,12,0,0
V002372,WF4 6LP,78,15604,32398.2,2.08,23,23,32,12,12,12,9,12,12,5,4
V002373,TW1 2EB,64,6050,11854.8,1.96,20,21,23,12,12,12,2,12,12,2,0
V002376,B8 3JA,63,3646,8852.0,2.43,18,22,23,12,12,12,4,9,12,1,1
V002377,TW1 1RD,57,2640,5161.8,1.96,16,21,20,11,11,12,3,10,10,0,0
V002378,WF5 8NW,73,13753,25055.2,1.82,21,21,31,12,12,12,7,11,12,4,3
V002380,B34 6QU,130,3900,14347.8,3.68,35,43,52,24,21,24,17,18,17,5,4
V002382,B26 3DX,116,4258,8682.8,2.04,32,39,45,24,23,22,4,14,23,5,1
V002383,NW10 4RX,68,4049,11810.2,2.92,21,23,24,12,12,12,5,12,12,2,1
V002385,B75 5BL,64,5387,7747.6,1.44,20,20,24,12,12,12,3,11,12,2,0
V002386,B25 8AH,73,5030,11768.0,2.34,24,23,26,12,12,12,11,11,12,3,0
V002388,B72 1SD,61,5536,9247.4,1.67,19,20,22,12,12,12,1,11,12,1,0
V002389,E14 7PQ,66,2843,9113.4,3.21,19,23,24,12,12,12,6,10,12,2,0
V002390,TW12 2AX,72,7747,13588.2,1.75,22,25,25,12,12,11,9,12,12,0,0
V002392,B76 1PA,69,7379,11484.4,1.56,22,20,27,12,12,12,5,12,12,3,1
V002396,B72 1TJ,60,3658,7251.6,1.98,18,20,22,12,12,12,1,10,12,1,0
V002397,RH6 7DJ,24,860,997.4,1.16,13,4,7,12,5,1,1,0,5,0,0
V002399,E14 3BQ,61,3598,9895.4,2.75,20,23,18,12,12,9,3,11,12,0,2
V002400,WN8 6UH,74,5355,12023.4,2.25,21,22,31,12,13,13,7,12,12,4,1
V002401,B44 0HH,68,7664,15104.6,1.97,19,22,27,12,12,12,5,11,12,4,0
V002402,L39 6SG,39,1653,1958.0,1.18,18,8,13,12,10,5,1,2,9,0,0
V002403,L39 2AW,50,1802,2301.2,1.28,21,12,17,12,12,8,4,2,9,3,0
V002406,L40 4BZ,68,4246,9914.0,2.33,20,20,28,12,12,12,3,12,12,3,2
V002408,WN8 6PW,4,59,70.8,1.2,0,2,2,0,0,0,0,0,4,0,0
V002409,B76 1RF,53,1039,1492.0,1.44,18,15,20,12,11,8,6,6,10,0,0
V002410,WN8 0PB,28,1117,1517.0,1.36,18,8,2,8,6,5,0,3,6,0,0
V002411,DT11 7EX,69,4906,11513.6,2.35,20,22,27,12,12,12,4,12,12,4,1
V002412,B74 4NJ,66,5324,8741.4,1.64,19,20,27,12,12,12,2,11,12,4,1
V002414,DT11 7DU,64,6534,12266.8,1.88,16,20,28,12,12,12,3,10,10,4,1
V002415,PR4 6AS,86,14812,27988.2,1.89,26,27,33,12,14,12,8,12,18,8,2
V002417,L39 4QJ,48,658,887.2,1.35,20,10,18,12,12,4,4,7,7,2,0
V002419,SP8 4QH,63,6269,12466.6,1.99,19,20,24,12,12,12,3,11,12,1,0
V002424,BD9 5EU,91,15695,31400.0,2.0,25,30,36,20,12,12,11,12,16,5,3
V002426,SP7 8AR,64,5485,9628.0,1.76,17,20,27,12,12,12,2,9,12,4,1
V002427,WN8 7DA,45,438,825.8,1.89,19,10,16,12,12,5,0,6,10,0,0
V002430,TW18 4ND,148,4394,8093.6,1.84,45,50,53,30,29,27,7,25,29,1,0
V002431,B72 1SD,65,3600,6508.6,1.81,20,20,25,12,12,12,4,11,12,1,1
V002432,WN8 8LA,81,14020,25695.0,1.83,27,23,31,12,12,12,11,12,12,7,3
V002434,UB5 5AE,77,9142,22052.2,2.41,23,24,30,12,12,12,11,12,12,4,2
V002435,WN8 9HP,62,4297,12397.2,2.89,18,21,23,12,12,12,1,10,12,1,2
V002437,UB6 0HR,71,7269,17587.2,2.42,20,22,29,12,12,12,6,12,12,4,1
V002438,B74 4AL,61,5677,8469.8,1.49,20,19,22,12,12,11,0,11,12,3,0
V002439,B44 9SU,78,15640,42515.0,2.72,22,24,32,12,12,12,9,12,12,5,4
V002442,W7 3DB,77,8833,21631.0,2.45,22,24,31,12,12,12,10,12,12,4,3
V002443,DT10 2RG,40,886,1637.0,1.85,15,21,4,10,10,8,1,4,7,0,0
V002444,W7 1DR,52,3039,7604.4,2.5,19,20,13,11,10,9,0,10,11,1,0
V002447,W7 3PX,70,9683,32686.6,3.38,22,24,24,12,12,12,10,12,12,0,0
V002448,W5 5EX,36,1133,2670.8,2.36,18,18,0,8,8,8,1,6,5,0,0
V002449,W5 4QR,46,4316,12195.0,2.83,22,21,3,9,9,8,2,8,8,1,1
V002450,W5 3UL,46,3806,9430.6,2.48,21,21,4,9,8,8,2,7,8,3,1
V002454,W5 1QY,68,4103,6981.2,1.7,21,21,26,12,12,12,5,12,12,3,0
V002455,W5 3AQ,56,1903,3152.0,1.66,17,18,21,12,12,10,1,9,12,0,0
V002457,LU3 3AD,75,11012,23439.2,2.13,24,24,27,12,12,12,12,12,12,1,2
V002458,BD20 0PP,72,14186,25360.0,1.79,18,23,31,12,12,12,7,10,12,4,3
V002464,W13 8JR,52,1546,2892.6,1.87,19,17,16,12,12,11,0,6,11,0,0
V002465,HA5 5QY,66,4904,8097.4,1.65,20,22,24,12,12,12,5,11,12,2,0
V002466,W5 4XL,54,3206,5315.2,1.66,11,19,24,12,12,8,6,8,8,0,0
V002467,B76 1NQ,67,2721,4935.6,1.81,22,21,24,12,12,11,7,12,12,1,0
V002468,CB1 2LF,65,2710,5272.0,1.95,18,21,26,12,12,12,0,10,11,4,3
V002469,HA3 5JZ,64,4580,10111.4,2.21,19,21,24,12,12,12,3,11,12,0,2
V002471,E1 1HE,65,2221,8031.6,3.62,21,22,22,12,12,12,7,10,12,0,0
V002472,E2 9PJ,62,4338,10772.8,2.48,18,20,24,12,12,11,0,10,12,4,1
V002473,E14 3UU,58,3415,7607.6,2.23,16,21,21,12,12,12,1,7,12,1,1
V002475,CB2 9NH,59,4978,8801.0,1.77,19,19,21,12,12,11,0,11,12,1,0
V002476,CB4 2DD,61,2166,3926.2,1.81,17,18,26,12,12,9,6,8,12,2,0
V002477,CB1 3PA,33,789,935.0,1.19,17,6,10,12,9,4,1,0,7,0,0
V002479,LS10 2AR,281,11951,25757.2,2.16,76,105,100,47,54,49,19,40,62,8,2
V002481,E11 2HY,50,1236,1787.2,1.45,17,20,13,12,10,11,0,6,11,0,0
V002482,E11 2PU,60,1578,4773.4,3.02,20,20,20,12,11,12,1,12,12,0,0
V002483,E18 2AB,73,6349,12811.2,2.02,24,21,28,12,12,12,5,12,12,8,0
V002485,IG1 1AR,120,23809,47854.2,2.01,47,36,37,22,19,16,13,15,30,3,2
V002486,IG1 1BE,77,9334,24704.0,2.65,23,24,30,12,12,12,10,12,12,5,1
V002488,IG1 1YN,70,2926,10106.0,3.45,20,24,26,12,12,12,8,12,12,2,0
V002492,IG1 4JT,75,3815,10860.6,2.85,24,24,27,13,12,12,9,12,15,0,2
V002494,IG1 4UR,71,1869,5179.6,2.77,19,24,28,12,12,12,8,11,12,4,0
V002495,LS10 3NG,63,5597,8416.6,1.5,19,19,25,12,12,11,0,11,12,4,1
V002496,IG2 6JE,11,268,321,1.2,8,3,0,7,4,0,0,0,0,0,0
V002498,IG2 6PQ,126,6806,12863.2,1.89,39,41,46,24,24,24,4,21,24,5,0
V002500,IG2 6XA,74,3946,9135.0,2.32,22,24,28,12,12,12,9,12,12,5,0
V002501,IG3 8JB,74,4708,10239.2,2.17,21,22,31,12,12,12,7,12,12,4,3
V002502,IG3 8LF,64,2449,6117.2,2.5,19,20,25,12,12,12,2,11,12,3,0
V002503,IG3 8SU,58,1297,2583.2,1.99,20,22,16,12,12,9,3,10,12,0,0
V002506,IG3 9SD,76,6632,16053.8,2.42,24,24,28,12,12,12,12,12,12,4,0
V002507,IG4 5DF,58,857,1597.8,1.86,20,20,18,12,12,11,2,11,10,0,0
V002508,IG4 5EU,77,6045,19354.2,3.2,24,27,26,14,12,12,10,12,15,0,0
V002509,IG5 0NZ,89,4450,17246.4,3.88,30,23,36,17,15,20,11,12,12,2,0
V002510,IG5 0PN,67,5600,11601.8,2.07,21,22,24,12,12,12,6,12,11,1,0
V002514,IG6 2AD,59,1668,6720.6,4.03,20,20,19,12,12,12,0,11,12,0,0
V002515,IG6 2JX,68,2953,9532.0,3.23,21,23,24,12,12,12,5,12,12,1,2
V002517,IG6 2QP,70,6906,11983.2,1.74,21,22,27,12,12,11,8,11,12,2,2
V002518,IG6 3DX,72,3940,15243.8,3.87,23,21,28,12,12,12,6,12,12,4,2
V002519,IG6 3EB,66,4997,8956.8,1.79,21,21,24,12,12,12,4,12,12,2,0
V002521,IG8 0HL,73,9249,15224.8,1.65,22,24,27,12,12,12,10,12,12,1,2
V002522,IG8 7QQ,74,4432,10604.0,2.39,21,23,30,12,12,12,9,11,12,3,3
V002523,IG8 8AS,69,4281,11002.4,2.57,20,22,27,12,12,12,5,12,12,2,2
V002526,LS11 7AB,70,10542,18210.8,1.73,20,22,28,12,12,12,6,12,12,4,0
V002527,IG8 9EF,59,1583,2999.0,1.89,19,18,22,12,12,11,0,11,11,2,0
V002528,IG8 9PF,70,9168,15958.2,1.74,22,23,25,12,12,12,9,12,12,1,0
V002530,BH7 6BZ,112,1466,1865.6,1.27,53,30,29,43,33,12,1,3,20,0,0
V002532,RM6 4BB,77,12367,32311.4,2.61,23,24,30,12,12,12,11,12,12,4,2
V002533,BH5 1LX,16,573,757.8,1.32,16,0,0,4,4,4,0,0,4,0,0
V002536,BH1 4BA,60,3813,7294.2,1.91,16,21,23,12,12,12,2,8,12,2,0
V002538,BH1 1DS,67,5506,8788.8,1.6,20,21,26,12,12,12,1,10,12,6,1
V002539,BD21 2AU,77,19370,35157.6,1.82,24,24,29,12,12,12,11,12,12,5,1
V002541,BH1 1PF,78,6615,12814.0,1.94,24,23,31,12,12,12,11,12,12,4,3
V002544,BH10 7AR,50,1561,2154.8,1.38,19,15,16,12,11,7,1,7,12,0,0
V002545,IG1 2RR,103,10644,28249.4,2.65,33,32,38,17,18,13,11,12,24,7,1
V002547,IG2 6RD,73,5904,13443.0,2.28,24,24,25,12,12,12,12,12,12,0,1
V002549,BH6 3QN,73,13532,29469.2,2.18,21,21,31,12,12,12,6,12,12,4,3
V002550,BH9 3RE,110,5305,11989.6,2.26,31,37,42,21,22,22,1,18,24,1,1
V002552,BH8 9UG,21,415,499.4,1.2,14,5,2,10,5,2,0,0,4,0,0
V002553,BH11 9DS,76,10590,17894.2,1.69,24,22,30,12,12,12,10,12,12,4,2
V002554,BH3 7AN,135,13947,26010.6,1.86,39,46,50,25,22,23,15,15,28,6,1
V002556,BH8 9QJ,18,478,560.2,1.17,14,4,0,8,4,2,0,1,3,0,0
V002557,BH9 1LT,75,10112,24098.2,2.38,22,22,31,12,12,12,8,12,12,4,3
V002559,BH6 3LA,70,6503,12217.6,1.88,21,21,28,12,12,12,2,12,12,4,4
V002560,E11 2AA,52,695,1200.2,1.73,18,19,15,12,11,10,1,9,9,0,0
V002562,BD19 3HH,73,10239,17985.2,1.76,22,22,29,12,12,12,7,12,12,4,1
V002563,BD22 6NL,64,4483,7670.8,1.71,16,20,28,12,12,12,4,8,12,3,1
V002564,BD19 5AR,30,1784,2535.4,1.42,20,9,1,9,7,5,0,5,4,0,0
V002566,WF17 5TD,125,11345,23156.4,2.04,37,40,48,23,23,17,13,16,24,7,2
V002568,FY4 1DR,69,7362,16513.8,2.24,20,21,28,12,12,12,7,10,12,4,0
V002570,WF17 7QF,75,8840,19484.6,2.2,23,24,28,12,12,12,11,12,12,4,0
V002572,FY2 9DZ,28,206,315,1.53,9,11,8,11,10,4,0,3,0,0,0
V002573,WF17 9ES,75,14441,24705.0,1.71,20,23,32,12,12,12,8,11,12,4,4
V002575,FY1 4EZ,84,6764,15352.4,2.27,25,26,33,15,12,12,7,12,19,4,3
V002577,FY4 1DW,66,4800,9561.4,1.99,19,21,26,12,12,12,3,10,12,4,1
V002582,FY4 5AX,41,576,740.6,1.29,18,11,12,12,7,4,0,5,9,4,0
V002583,WF12 9PJ,64,3154,7428.4,2.36,19,21,24,12,12,12,3,10,12,3,0
V002584,WF14 8AF,70,14147,25942.2,1.83,21,20,29,12,12,12,5,12,12,4,1
V002585,WF13 1LB,66,7531,15323.2,2.03,23,21,22,12,12,12,5,12,12,1,0
V002587,LU1 1EW,39,1163,6204.6,5.33,16,20,3,8,9,8,0,4,8,2,0
V002588,HA0 2LP,58,4306,10066.8,2.34,21,21,16,11,12,12,3,9,11,0,0
V002589,LS11 6AW,94,5208,8897.8,1.71,32,35,27,18,19,15,10,13,19,0,0
V002590,BD19 3LB,73,8102,14768.4,1.82,23,22,28,12,12,12,9,12,12,4,0
V002591,WF16 9QS,79,17440,36848.6,2.11,25,24,30,12,12,12,12,12,12,5,2
V002593,LS11 6AJ,68,6632,13933.4,2.1,21,24,23,12,12,12,6,12,12,1,0
V002594,LS11 9NS,63,5197,11099.6,2.14,19,20,24,12,12,12,0,11,12,4,0
V002595,BD4 7QP,48,2668,4761.8,1.78,20,18,10,12,10,9,1,5,8,2,1
V002596,BD5 0AL,75,12510,25898.6,2.07,24,23,28,12,12,12,11,12,12,4,0
V002597,LU4 9LF,72,4087,9755.4,2.39,21,23,28,12,12,12,9,11,12,4,0
V002599,LS26 0DB,70,7138,13138.8,1.84,21,20,29,12,12,12,5,12,12,2,3
V002602,KT21 1AW,59,4146,6528.4,1.57,18,19,22,12,12,11,1,10,12,1,0
V002603,SM7 1BT,63,2430,5884.4,2.42,21,19,23,12,12,11,3,12,12,1,0
V002606,BD9 5BU,109,6531,11937.4,1.83,29,41,39,21,21,22,4,12,24,4,1
V002608,KT10 0QY,48,1080,1528.8,1.42,20,11,17,12,12,7,3,7,5,2,0
V002609,KT10 0PF,16,616,843.8,1.37,16,0,0,4,4,3,0,1,4,0,0
V002610,KT11 2LA,60,2212,4002.2,1.81,17,20,23,12,12,12,1,9,12,2,0
V002611,SG8 5NF,42,971,1554.0,1.6,18,17,7,11,9,8,0,5,9,0,0
V002614,BD9 4QU,56,869,4325.4,4.98,16,21,19,12,12,12,9,9,2,0,0
V002617,RH4 1QE,66,3693,5877.2,1.59,22,20,24,12,12,12,0,12,12,6,0
V002623,BD5 8DN,128,8226,19034.4,2.31,38,41,49,24,24,23,8,19,24,6,0
V002625,BD6 3AD,68,9766,16841.2,1.72,18,22,28,12,12,12,6,10,12,4,0
V002626,HX7 5LL,76,8256,19101.8,2.31,23,23,30,12,12,12,10,12,12,4,2
V002627,LS26 0EG,28,696,917.4,1.32,19,8,1,8,9,4,0,2,4,1,0
V002628,LS2 7PD,6,83,249.4,3.0,3,1,2,0,1,3,0,0,2,0,0
V002629,LS8 5DH,94,11130,17545.0,1.58,27,29,38,15,21,13,4,11,24,6,0
V002630,LS26 0BE,63,7733,13180.0,1.7,18,21,24,12,12,12,6,9,12,0,0
V002631,LS27 9EN,89,7472,14664.6,1.96,25,28,36,14,17,12,6,11,23,4,2
V002634,LS9 9ED,71,6818,14896.8,2.18,20,24,27,12,12,12,9,11,12,3,0
V002635,LS9 6AP,78,5465,13953.0,2.55,23,24,31,12,12,12,12,11,12,4,3
V002636,LS9 9JD,102,5465,12174.0,2.23,34,32,36,12,18,13,8,11,36,3,1
V002639,BD7 4PY,91,11160,17954.2,1.61,30,27,34,17,12,12,7,12,24,3,4
V002641,EC1V 9DS,67,2915,9212.8,3.16,19,24,24,12,12,12,8,11,12,0,0
V002642,BD7 2LS,71,5130,8257.6,1.61,18,22,31,12,12,12,6,10,12,4,3
V002644,E5 9BU,64,3332,11943.6,3.58,20,21,23,12,10,9,9,11,11,1,1
V002645,LS14 6HT,110,10332,23391.6,2.26,30,35,45,15,19,16,12,12,24,9,3
V002647,LS15 8BA,62,2735,4851.6,1.77,20,21,21,12,12,12,2,11,12,1,0
V002649,LS15 8DZ,68,10386,20773.4,2.0,18,20,30,12,12,12,4,10,12,4,2
V002650,E9 6BB,70,1554,4993.2,3.21,22,22,26,12,12,12,5,12,12,3,2
V002651,N4 1QR,75,5214,13591.2,2.61,24,24,27,12,12,12,11,12,12,4,0
V002654,N16 7HU,78,7199,20100.0,2.79,22,24,32,12,12,12,11,11,12,4,4
V002655,BD7 3NN,74,4065,10452.4,2.57,22,24,28,12,12,12,11,11,12,4,0
V002656,EC2A 3BS,129,5202,12660.0,2.43,37,45,47,24,24,24,10,21,24,0,2
V002659,LS15 7JL,72,3136,6855.6,2.19,21,23,28,12,12,12,9,10,12,5,0
V002663,E5 8EE,62,839,3761.0,4.48,17,21,24,12,12,12,5,9,12,0,0
V002664,LS27 0AH,72,7573,13747.6,1.82,20,24,28,12,12,12,9,11,12,4,0
V002666,E5 0RN,63,941,3924.6,4.17,20,23,20,11,12,12,4,10,9,4,0
V002667,E8 3NS,58,6541,9844.6,1.51,24,26,8,13,9,8,0,5,23,0,0
V002668,E8 1HR,60,7248,14035.4,1.94,18,20,22,12,12,12,0,10,12,1,1
V002669,LS25 7JN,5,13,30,2.31,2,0,3,2,2,0,0,1,0,0,0
V002670,E8 4AR,76,2009,6461.6,3.22,20,24,32,12,12,12,10,11,11,4,4
V002671,LS25 1DS,99,8455,14663.8,1.73,33,27,39,16,18,16,8,17,16,6,2
V002672,E8 2JS,134,3869,11104.2,2.87,39,45,50,23,24,22,19,18,24,2,2
V002674,E9 7LJ,70,1049,3471.4,3.31,21,23,26,12,12,11,6,12,12,3,2
V002675,LS25 1AA,187,21032,37392.6,1.78,57,60,70,27,35,28,14,23,47,8,5
V002676,E9 6QT,77,6721,20453.8,3.04,23,24,30,12,12,12,11,12,12,3,3
V002677,LS25 1AR,74,5551,12116.8,2.18,29,20,25,16,15,13,2,12,12,4,0
V002678,N1 7RD,72,3356,8035.6,2.39,21,24,27,12,12,12,8,12,12,2,2
V002679,N1 4AX,51,1109,4877.8,4.4,17,20,14,12,12,8,0,8,11,0,0
V002681,LS25 1EZ,33,967,2154.8,2.23,11,11,11,6,6,6,3,6,6,0,0
V002682,N16 5TR,69,6106,14044.0,2.3,22,23,24,12,12,12,7,12,12,2,0
V002683,N16 8EL,75,5293,25017.2,4.73,24,25,26,13,12,12,8,12,15,2,0
V002688,N16 0UL,70,5234,10451.4,2.0,19,22,29,12,12,12,7,10,12,4,1
V002689,CB23 8EH,52,1158,2047.4,1.77,19,20,13,11,10,11,2,9,9,0,0
V002694,BD13 2BD,68,2849,5569.6,1.95,19,21,28,12,12,12,6,10,12,3,1
V002695,BD13 3EY,71,6583,12937.2,1.97,23,20,28,12,12,12,5,11,12,6,1
V002697,BD13 2PA,68,6593,13881.4,2.11,20,21,27,12,12,12,4,12,12,4,0
V002700,BD14 6RH,90,7439,14453.2,1.94,27,29,34,19,15,12,2,12,24,5,1
V002703,BD15 7RA,79,20008,42294.6,2.11,24,24,31,12,12,12,11,12,12,5,3
V002704,BD15 0AS,61,3418,4973.6,1.46,18,20,23,12,12,12,0,10,12,2,1
V002706,B27 6DN,75,6798,14137.0,2.08,22,24,29,12,12,12,10,11,12,4,2
V002708,BD2 2AR,75,8492,13984.8,1.65,22,22,31,12,12,12,7,12,12,4,4
V002710,BD2 1LN,71,4660,10271.4,2.2,21,22,28,12,12,12,8,11,12,4,0
V002713,BD10 0BN,67,7769,13350.4,1.72,21,21,25,12,12,12,3,12,12,4,0
V002714,SK13 8HJ,72,7211,14341.4,1.99,21,21,30,12,12,12,6,12,12,4,2
V002715,LS12 1XB,67,5083,13478.8,2.65,19,21,27,12,12,12,2,11,12,3,3
V002720,BD17 6JX,84,888,1447.2,1.63,32,24,28,24,21,9,1,12,16,1,0
V002722,NE64 6PF,116,11787,26791.8,2.27,32,35,49,21,17,16,12,14,24,8,4
V002724,LS12 2TJ,21,461,1652.0,3.58,0,20,1,4,4,4,0,4,4,1,0
V002727,BD18 3AP,20,665,924.8,1.39,20,0,0,4,4,4,0,2,4,2,0
V002728,LS12 3PE,72,4558,9370.4,2.06,20,22,30,12,12,12,7,11,12,4,2
V002729,N4 2AA,64,1052,3885.8,3.69,18,20,26,12,12,11,1,9,12,4,3
V002731,M6 5PP,126,1702,5155.6,3.03,34,39,53,24,24,23,2,19,23,8,3
V002733,M3 6BZ,111,6542,12228.6,1.87,35,34,42,23,22,18,7,16,19,5,1
V002734,M6 8QQ,68,6832,13847.4,2.03,20,22,26,12,12,12,4,12,12,4,0
V002735,M6 8FZ,60,1371,3373.0,2.46,17,33,10,13,16,9,0,9,12,1,0
V002736,M7 4UF,66,4549,10505.2,2.31,20,21,25,12,12,12,3,11,12,3,1
V002740,M6 7NJ,73,6927,12620.0,1.82,22,23,28,12,12,12,10,10,12,5,0
V002742,M6 5EQ,79,21436,43172.0,2.01,24,24,31,12,12,12,12,12,12,4,3
V002747,LS12 4AD,71,5613,10558.8,1.88,21,22,28,12,12,12,7,11,12,4,1
V002748,M7 2JB,69,9489,24139.8,2.54,19,22,28,12,12,12,3,10,12,4,3
V002749,M7 4LR,49,674,1558.0,2.31,18,16,15,12,12,9,0,11,5,0,0
V002750,M6 7HN,73,7516,14084.4,1.87,21,24,28,12,12,12,8,11,12,5,1
V002756,M30 0PF,76,11119,25276.0,2.27,23,24,29,12,12,12,11,12,12,4,1
V002757,M30 0EJ,82,7629,16448.0,2.16,26,24,32,12,12,12,12,12,12,6,4
V002758,M30 9LY,74,12839,26017.6,2.03,21,22,31,12,12,12,7,12,12,4,3
V002760,M44 5AA,76,9795,22928.2,2.34,21,24,31,12,12,12,10,11,12,4,3
V002762,SW12 9AQ,61,3235,4948.8,1.53,20,20,21,12,12,12,1,12,12,0,0
V002763,M27 4AF,78,12659,34855.0,2.75,24,24,30,12,12,12,12,12,12,4,2
V002765,M27 0EJ,17,512,658.0,1.29,16,1,0,5,4,4,0,0,4,0,0
V002769,SW11 5QW,79,5995,15758.0,2.63,23,24,32,12,12,12,9,12,12,6,4
V002770,LS7 4LF,72,9082,17278.2,1.9,21,23,28,12,12,12,8,12,12,4,0
V002771,M38 9WT,67,4049,9613.0,2.37,20,20,27,12,12,12,1,12,12,4,2
V002772,M28 3AQ,65,6635,10022.6,1.51,22,20,23,12,12,12,2,12,12,1,2
V002773,M28 1HP,73,3632,9345.2,2.57,20,23,30,12,12,12,7,12,12,4,2
V002778,M44 5DX,68,5480,11346.4,2.07,19,21,28,12,12,12,3,11,12,4,2
V002780,SW8 3RE,60,907,5036.4,5.55,19,20,21,11,12,12,1,11,12,0,1
V002781,CB22 3BG,56,1675,2642.4,1.58,21,17,18,12,12,9,2,9,11,1,0
V002782,LS7 2PW,151,18947,39039.4,2.06,45,47,59,24,24,24,20,24,24,7,4
V002783,SW11 3UY,68,2657,5749.6,2.16,20,22,26,12,12,12,5,11,12,4,0
V002785,WV7 3QG,67,7866,15167.8,1.93,19,20,28,12,12,11,5,10,12,5,0
V002787,LS13 4AJ,63,4925,10541.0,2.14,17,20,26,12,12,12,3,9,12,3,0
V002791,SE1 1JH,72,11460,32002.2,2.79,22,22,28,12,12,12,7,12,12,2,3
V002793,HA3 5DL,64,3057,6621.2,2.17,20,21,23,12,12,12,2,11,12,2,0
V002794,LS13 1LT,64,7717,12987.8,1.68,18,21,25,12,12,12,2,10,12,4,0
V002797,HA2 6EF,72,4466,9303.8,2.08,19,24,29,12,12,12,8,11,12,4,1
V002799,LS28 7NB,78,14843,27383.0,1.84,23,23,32,12,12,12,10,12,12,4,4
V002800,SG8 6HH,63,5577,8214.2,1.47,20,18,25,12,12,12,4,9,12,1,0
V002801,LS28 5BR,38,1180,1706.6,1.45,20,18,0,8,8,6,1,7,8,0,0
V002802,LS28 5HX,73,6972,11961.4,1.72,22,22,29,12,12,12,8,12,12,3,2
V002803,CB2 4EW,27,636,831.4,1.31,18,7,2,10,6,5,0,2,4,0,0
V002804,CB2 5LZ,64,8824,14626.4,1.66,21,20,23,12,12,12,4,11,12,1,0
V002805,RM9 4TP,75,8613,24371.4,2.83,22,24,29,12,12,12,10,12,12,4,1
V002806,RM10 9PT,76,6813,22885.8,3.36,22,23,31,12,12,12,9,12,12,4,3
V002807,RM9 6AE,66,6527,9656.4,1.48,21,21,24,12,12,12,3,11,12,4,0
V002808,RM8 3HB,59,2857,7741.0,2.71,18,20,21,12,12,12,1,10,12,0,0
V002809,RM10 8QS,55,5453,14076.0,2.58,22,20,13,12,10,10,2,8,10,0,3
V002813,RM8 3NT,62,2373,7677.6,3.24,18,20,24,12,12,12,0,10,12,0,4
V002816,RM6 6RL,78,14221,37381.6,2.63,23,23,32,12,12,12,11,11,12,4,4
V002819,IG11 8AA,76,4833,12708.6,2.63,22,23,31,12,12,12,9,12,12,4,3
V002822,IG11 8SY,76,14185,34216.4,2.41,23,24,29,12,12,12,11,12,12,4,1
V002823,IG11 7RS,68,2254,4430.6,1.97,21,22,25,12,12,11,8,11,12,2,0
V002824,DT9 3EH,71,8824,16067.4,1.82,21,22,28,12,12,12,7,12,12,3,1
