PRACTICE_CODE,PRACTICE_POSTCODE,total_rows,total_cot,total_uda,avg_uda_per_cot,child_count,nonpaying_count,paying_count,band1,band2a,band2b,band2c,band3,urgent_count,free_count,reg11_count
V000413,CO10 2SX,76,17935,39172.8,2.18,24,24,28,12,12,12,11,12,12,5,0
V000414,CO10 1HQ,64,4891,11704.0,2.39,20,20,24,12,12,12,2,12,12,2,0
V000415,CO10 2AA,34,699,981.2,1.4,13,14,7,12,10,6,0,4,2,0,0
V000420,CB8 8SX,72,11940,25717.0,2.15,25,20,27,12,12,12,5,12,12,7,0
V000422,IP28 7ES,71,11936,22728.6,1.9,21,23,27,12,12,12,8,12,12,2,1
V000423,IP1 1XG,36,1705,2463.6,1.44,19,9,8,12,8,6,0,5,3,0,1
V000425,HP10 9LT,67,2355,4460.2,1.89,21,20,26,12,12,11,5,12,12,2,1
V000426,HP15 7BB,28,1242,1917.2,1.54,18,10,0,8,7,4,0,2,7,0,0
V000434,HP12 4UD,113,5609,10341.2,1.84,34,36,43,24,24,24,8,14,16,3,0
V000437,HP11 2AG,78,8225,16272.4,1.98,25,24,29,14,13,12,9,12,13,0,3
V000440,HP13 6RU,69,7410,13866.6,1.87,20,23,26,12,12,12,6,12,12,2,1
V000443,HP13 6NR,77,6683,11549.8,1.73,24,24,29,13,15,12,5,12,15,5,0
V000446,HP11 2QR,62,5997,12408.0,2.07,20,21,21,12,12,12,2,12,12,0,0
V000447,HP11 2BE,38,784,1476.2,1.88,19,19,0,8,8,7,1,6,8,0,0
V000449,HP11 2QR,61,2246,4377.2,1.95,20,21,20,12,12,12,3,7,12,0,0
V000450,HP11 2QL,132,8114,21259.6,2.62,39,45,48,26,23,24,17,13,26,2,1
V000451,HP13 6LE,62,3155,6029.8,1.91,20,20,22,12,12,12,2,12,12,0,0
V000452,HP13 6NR,14,343,421.0,1.23,14,0,0,4,4,2,0,1,3,0,0
V000453,HP10 9TJ,144,10580,26470.2,2.5,39,48,57,30,35,30,9,15,25,0,0
V000455,SL7 1DQ,21,536,707.2,1.32,13,7,1,9,6,4,0,1,1,0,0
V000459,SE4 2AQ,79,19434,44391.8,2.28,24,24,31,12,12,12,11,12,12,5,3
V000460,SE8 3PR,71,6195,12787.2,2.06,19,24,28,12,12,12,10,9,12,1,3
V000461,SE14 6QD,79,12633,28037.8,2.22,22,25,32,12,12,12,10,12,12,4,4
V000463,SE8 5QW,76,7770,19098.8,2.46,23,24,29,12,12,12,12,11,12,4,1
V000464,SE14 5DG,74,14014,33700.4,2.4,24,24,26,12,12,12,12,12,12,0,2
V000465,SE12 8LU,65,4853,9945.2,2.05,20,22,23,12,12,12,4,12,12,1,0
V000466,SE13 5LQ,76,12678,31518.0,2.49,24,24,28,12,12,12,12,12,12,2,2
V000467,BN1 3JE,60,4295,8778.2,2.04,19,20,21,12,12,12,1,11,12,0,0
V000471,SE13 5BJ,74,9240,19411.0,2.1,23,24,27,12,12,12,10,12,12,1,2
V000472,BN3 4AA,61,2169,5192.6,2.39,20,20,21,12,12,12,0,12,12,1,0
V000475,SE12 8PU,52,1737,4160.2,2.4,18,23,11,10,10,8,4,7,12,1,0
V000477,SE3 0RL,60,2310,6958.0,3.01,19,19,22,12,12,12,5,12,7,0,0
V000478,SE13 6BG,63,1593,4822.8,3.03,20,21,22,12,12,12,2,12,12,1,0
V000482,SE12 9NG,63,3429,8051.2,2.35,19,20,24,12,12,12,1,11,12,3,0
V000488,SE6 4SN,66,4001,16220.8,4.05,25,24,17,11,10,11,8,10,9,5,2
V000490,SE6 2LQ,74,6651,18446.4,2.77,21,22,31,12,12,12,7,12,12,4,3
V000491,BN3 1DG,65,5351,15468.8,2.89,19,22,24,12,12,12,6,11,12,0,0
V000492,BR1 4PH,74,2345,9479.2,4.04,24,23,27,12,12,12,9,12,12,4,0
V000493,BN3 4EB,152,2820,5137.6,1.82,33,59,60,30,34,25,5,19,36,2,1
V000494,SE12 9PP,75,6259,13407.0,2.14,23,24,28,12,12,12,11,12,12,4,0
V000496,BN3 3QA,70,2238,4223.8,1.89,18,23,29,12,12,12,7,10,12,3,2
V000497,BN41 2LH,71,9194,16192.4,1.76,21,22,28,12,12,12,6,12,12,4,1
V000498,BN2 5FB,108,3362,14998.4,4.46,34,41,33,24,24,25,0,19,11,4,1
V000500,SE6 2NZ,141,21742,59582.4,2.74,39,39,63,26,30,29,14,19,15,4,4
V000501,SE23 3HN,87,3877,19873.8,5.13,29,29,29,17,14,13,3,17,20,1,2
V000502,BN1 2PE,128,3115,5781.2,1.86,33,47,48,27,30,22,1,15,33,0,0
V000504,SE26 5HF,90,6367,14353.0,2.25,26,31,33,16,12,12,10,12,24,2,2
V000505,SE23 1BX,68,3227,7988.2,2.48,20,22,26,12,12,12,7,11,12,2,0
V000506,SE6 3HQ,63,3192,7373.6,2.31,20,20,23,12,12,12,2,12,12,1,0
V000508,SE23 2LR,124,8613,21174.6,2.46,37,41,46,19,24,24,15,19,19,4,0
V000509,BN2 6PH,60,4518,9147.6,2.02,16,21,23,12,12,11,2,9,12,1,1
V000510,BN1 8XQ,51,1652,2288.6,1.39,19,15,17,12,12,8,1,6,11,1,0
V000512,BN2 8RB,67,2500,5176.0,2.07,20,18,29,12,12,9,7,11,11,4,1
V000513,SW9 9BQ,73,3500,9672.0,2.76,21,24,28,12,12,12,8,12,12,2,3
V000514,SW8 2JS,72,5974,21490.6,3.6,23,24,25,12,12,12,11,12,12,0,1
V000517,SW9 0JD,73,8725,28960.8,3.32,23,23,27,12,12,12,10,12,12,1,2
V000518,BN1 9RW,18,450,1385.6,3.08,6,6,6,3,3,3,3,3,3,0,0
V000519,SW9 9AU,66,10542,37456.4,3.55,20,20,26,12,12,12,1,12,12,1,3
V000521,SE11 4PP,72,4719,13923.6,2.95,21,22,29,12,12,12,6,12,12,3,3
V000522,BN1 1AG,17,181,383.2,2.12,12,3,2,8,3,5,0,0,1,0,0
V000523,SE19 1QG,67,4838,12932.4,2.67,21,23,23,12,12,12,6,12,12,1,0
V000525,BN1 6UG,33,1035,1431.2,1.38,20,12,1,8,8,5,0,6,5,1,0
V000526,SW2 3PJ,62,2296,5144.4,2.24,18,21,23,12,12,12,4,9,12,0,1
V000527,BN2 6PA,143,5338,13443.2,2.52,47,39,57,29,32,28,6,22,23,3,0
